ORIGID,County,PopulationCensus16,TimeStamp,Lat,Long,Confirmed Cases
22,Tipperary,159553,2020/03/02 00:00:00+00,52.6407,-7.9206,0
23,Waterford,116176,2020/03/02 00:00:00+00,52.2035,-7.4935,0
24,Westmeath,88770,2020/03/02 00:00:00+00,53.5524,-7.4219,0
25,Wexford,149722,2020/03/02 00:00:00+00,52.5164,-6.5037,0
26,Wicklow,142425,2020/03/02 00:00:00+00,53.0205,-6.3442,0
1,Carlow,56932,2020/03/03 00:00:00+00,52.7168,-6.8367,0
2,Cavan,76176,2020/03/03 00:00:00+00,53.9878,-7.2937,0
3,Clare,118817,2020/03/03 00:00:00+00,52.8917,-8.9889,0
4,Cork,542868,2020/03/03 00:00:00+00,51.9517,-8.6372,0
5,Donegal,159192,2020/03/03 00:00:00+00,54.8989,-7.96,0
6,Dublin,1347359,2020/03/03 00:00:00+00,53.3605,-6.292,1
7,Galway,258058,2020/03/03 00:00:00+00,53.3705,-8.7362,0
8,Kerry,147707,2020/03/03 00:00:00+00,52.1689,-9.565,0
9,Kildare,222504,2020/03/03 00:00:00+00,53.238,-6.7837,0
10,Kilkenny,99232,2020/03/03 00:00:00+00,52.5816,-7.2175,0
11,Laois,84697,2020/03/03 00:00:00+00,52.9952,-7.3423,0
12,Leitrim,32044,2020/03/03 00:00:00+00,54.1261,-7.9939,0
13,Limerick,194899,2020/03/03 00:00:00+00,52.5255,-8.7412,0
14,Longford,40873,2020/03/03 00:00:00+00,53.7325,-7.6952,0
15,Louth,128884,2020/03/03 00:00:00+00,53.9161,-6.487,1
16,Mayo,130507,2020/03/03 00:00:00+00,53.9191,-9.2537,0
17,Meath,195044,2020/03/03 00:00:00+00,53.6851,-6.715,0
18,Monaghan,61386,2020/03/03 00:00:00+00,54.1857,-6.9452,0
19,Offaly,77961,2020/03/03 00:00:00+00,53.2632,-7.6607,0
20,Roscommon,64544,2020/03/03 00:00:00+00,53.8008,-8.2735,0
21,Sligo,65535,2020/03/03 00:00:00+00,54.1581,-8.5345,0
22,Tipperary,159553,2020/03/03 00:00:00+00,52.6407,-7.9206,0
23,Waterford,116176,2020/03/03 00:00:00+00,52.2035,-7.4935,0
24,Westmeath,88770,2020/03/03 00:00:00+00,53.5524,-7.4219,0
25,Wexford,149722,2020/03/03 00:00:00+00,52.5164,-6.5037,0
26,Wicklow,142425,2020/03/03 00:00:00+00,53.0205,-6.3442,0
1,Carlow,56932,2020/03/04 00:00:00+00,52.7168,-6.8367,0
2,Cavan,76176,2020/03/04 00:00:00+00,53.9878,-7.2937,0
3,Clare,118817,2020/03/04 00:00:00+00,52.8917,-8.9889,3
4,Cork,542868,2020/03/04 00:00:00+00,51.9517,-8.6372,0
5,Donegal,159192,2020/03/04 00:00:00+00,54.8989,-7.96,0
6,Dublin,1347359,2020/03/04 00:00:00+00,53.3605,-6.292,1
7,Galway,258058,2020/03/04 00:00:00+00,53.3705,-8.7362,0
8,Kerry,147707,2020/03/04 00:00:00+00,52.1689,-9.565,0
9,Kildare,222504,2020/03/04 00:00:00+00,53.238,-6.7837,0
10,Kilkenny,99232,2020/03/04 00:00:00+00,52.5816,-7.2175,0
11,Laois,84697,2020/03/04 00:00:00+00,52.9952,-7.3423,0
12,Leitrim,32044,2020/03/04 00:00:00+00,54.1261,-7.9939,0
13,Limerick,194899,2020/03/04 00:00:00+00,52.5255,-8.7412,0
14,Longford,40873,2020/03/04 00:00:00+00,53.7325,-7.6952,0
15,Louth,128884,2020/03/04 00:00:00+00,53.9161,-6.487,1
16,Mayo,130507,2020/03/04 00:00:00+00,53.9191,-9.2537,0
17,Meath,195044,2020/03/04 00:00:00+00,53.6851,-6.715,0
18,Monaghan,61386,2020/03/04 00:00:00+00,54.1857,-6.9452,0
19,Offaly,77961,2020/03/04 00:00:00+00,53.2632,-7.6607,0
20,Roscommon,64544,2020/03/04 00:00:00+00,53.8008,-8.2735,0
21,Sligo,65535,2020/03/04 00:00:00+00,54.1581,-8.5345,0
22,Tipperary,159553,2020/03/04 00:00:00+00,52.6407,-7.9206,0
23,Waterford,116176,2020/03/04 00:00:00+00,52.2035,-7.4935,0
24,Westmeath,88770,2020/03/04 00:00:00+00,53.5524,-7.4219,0
25,Wexford,149722,2020/03/04 00:00:00+00,52.5164,-6.5037,0
26,Wicklow,142425,2020/03/04 00:00:00+00,53.0205,-6.3442,0
1,Carlow,56932,2020/03/05 00:00:00+00,52.7168,-6.8367,0
2,Cavan,76176,2020/03/05 00:00:00+00,53.9878,-7.2937,0
3,Clare,118817,2020/03/05 00:00:00+00,52.8917,-8.9889,4
4,Cork,542868,2020/03/05 00:00:00+00,51.9517,-8.6372,1
5,Donegal,159192,2020/03/05 00:00:00+00,54.8989,-7.96,0
6,Dublin,1347359,2020/03/05 00:00:00+00,53.3605,-6.292,1
7,Galway,258058,2020/03/05 00:00:00+00,53.3705,-8.7362,1
8,Kerry,147707,2020/03/05 00:00:00+00,52.1689,-9.565,0
9,Kildare,222504,2020/03/05 00:00:00+00,53.238,-6.7837,0
10,Kilkenny,99232,2020/03/05 00:00:00+00,52.5816,-7.2175,0
11,Laois,84697,2020/03/05 00:00:00+00,52.9952,-7.3423,0
12,Leitrim,32044,2020/03/05 00:00:00+00,54.1261,-7.9939,0
13,Limerick,194899,2020/03/05 00:00:00+00,52.5255,-8.7412,0
14,Longford,40873,2020/03/05 00:00:00+00,53.7325,-7.6952,0
15,Louth,128884,2020/03/05 00:00:00+00,53.9161,-6.487,1
16,Mayo,130507,2020/03/05 00:00:00+00,53.9191,-9.2537,0
17,Meath,195044,2020/03/05 00:00:00+00,53.6851,-6.715,0
18,Monaghan,61386,2020/03/05 00:00:00+00,54.1857,-6.9452,0
19,Offaly,77961,2020/03/05 00:00:00+00,53.2632,-7.6607,0
20,Roscommon,64544,2020/03/05 00:00:00+00,53.8008,-8.2735,0
21,Sligo,65535,2020/03/05 00:00:00+00,54.1581,-8.5345,0
22,Tipperary,159553,2020/03/05 00:00:00+00,52.6407,-7.9206,0
23,Waterford,116176,2020/03/05 00:00:00+00,52.2035,-7.4935,0
24,Westmeath,88770,2020/03/05 00:00:00+00,53.5524,-7.4219,0
25,Wexford,149722,2020/03/05 00:00:00+00,52.5164,-6.5037,0
26,Wicklow,142425,2020/03/05 00:00:00+00,53.0205,-6.3442,0
1,Carlow,56932,2020/03/06 00:00:00+00,52.7168,-6.8367,0
2,Cavan,76176,2020/03/06 00:00:00+00,53.9878,-7.2937,0
3,Clare,118817,2020/03/06 00:00:00+00,52.8917,-8.9889,4
4,Cork,542868,2020/03/06 00:00:00+00,51.9517,-8.6372,1
5,Donegal,159192,2020/03/06 00:00:00+00,54.8989,-7.96,0
6,Dublin,1347359,2020/03/06 00:00:00+00,53.3605,-6.292,2
7,Galway,258058,2020/03/06 00:00:00+00,53.3705,-8.7362,2
8,Kerry,147707,2020/03/06 00:00:00+00,52.1689,-9.565,0
9,Kildare,222504,2020/03/06 00:00:00+00,53.238,-6.7837,0
10,Kilkenny,99232,2020/03/06 00:00:00+00,52.5816,-7.2175,0
11,Laois,84697,2020/03/06 00:00:00+00,52.9952,-7.3423,0
12,Leitrim,32044,2020/03/06 00:00:00+00,54.1261,-7.9939,0
13,Limerick,194899,2020/03/06 00:00:00+00,52.5255,-8.7412,0
14,Longford,40873,2020/03/06 00:00:00+00,53.7325,-7.6952,0
15,Louth,128884,2020/03/06 00:00:00+00,53.9161,-6.487,1
16,Mayo,130507,2020/03/06 00:00:00+00,53.9191,-9.2537,0
17,Meath,195044,2020/03/06 00:00:00+00,53.6851,-6.715,0
18,Monaghan,61386,2020/03/06 00:00:00+00,54.1857,-6.9452,0
19,Offaly,77961,2020/03/06 00:00:00+00,53.2632,-7.6607,0
20,Roscommon,64544,2020/03/06 00:00:00+00,53.8008,-8.2735,0
21,Sligo,65535,2020/03/06 00:00:00+00,54.1581,-8.5345,0
22,Tipperary,159553,2020/03/06 00:00:00+00,52.6407,-7.9206,0
23,Waterford,116176,2020/03/06 00:00:00+00,52.2035,-7.4935,0
24,Westmeath,88770,2020/03/06 00:00:00+00,53.5524,-7.4219,0
25,Wexford,149722,2020/03/06 00:00:00+00,52.5164,-6.5037,0
26,Wicklow,142425,2020/03/06 00:00:00+00,53.0205,-6.3442,3
1,Carlow,56932,2020/03/07 00:00:00+00,52.7168,-6.8367,0
2,Cavan,76176,2020/03/07 00:00:00+00,53.9878,-7.2937,0
3,Clare,118817,2020/03/07 00:00:00+00,52.8917,-8.9889,4
4,Cork,542868,2020/03/07 00:00:00+00,51.9517,-8.6372,3
5,Donegal,159192,2020/03/07 00:00:00+00,54.8989,-7.96,0
6,Dublin,1347359,2020/03/07 00:00:00+00,53.3605,-6.292,2
7,Galway,258058,2020/03/07 00:00:00+00,53.3705,-8.7362,3
8,Kerry,147707,2020/03/07 00:00:00+00,52.1689,-9.565,0
9,Kildare,222504,2020/03/07 00:00:00+00,53.238,-6.7837,0
10,Kilkenny,99232,2020/03/07 00:00:00+00,52.5816,-7.2175,0
11,Laois,84697,2020/03/07 00:00:00+00,52.9952,-7.3423,0
12,Leitrim,32044,2020/03/07 00:00:00+00,54.1261,-7.9939,0
13,Limerick,194899,2020/03/07 00:00:00+00,52.5255,-8.7412,0
14,Longford,40873,2020/03/07 00:00:00+00,53.7325,-7.6952,0
15,Louth,128884,2020/03/07 00:00:00+00,53.9161,-6.487,1
16,Mayo,130507,2020/03/07 00:00:00+00,53.9191,-9.2537,0
17,Meath,195044,2020/03/07 00:00:00+00,53.6851,-6.715,0
18,Monaghan,61386,2020/03/07 00:00:00+00,54.1857,-6.9452,0
19,Offaly,77961,2020/03/07 00:00:00+00,53.2632,-7.6607,0
20,Roscommon,64544,2020/03/07 00:00:00+00,53.8008,-8.2735,0
21,Sligo,65535,2020/03/07 00:00:00+00,54.1581,-8.5345,0
22,Tipperary,159553,2020/03/07 00:00:00+00,52.6407,-7.9206,0
23,Waterford,116176,2020/03/07 00:00:00+00,52.2035,-7.4935,0
24,Westmeath,88770,2020/03/07 00:00:00+00,53.5524,-7.4219,0
25,Wexford,149722,2020/03/07 00:00:00+00,52.5164,-6.5037,0
26,Wicklow,142425,2020/03/07 00:00:00+00,53.0205,-6.3442,3
1,Carlow,56932,2020/03/08 00:00:00+00,52.7168,-6.8367,0
2,Cavan,76176,2020/03/08 00:00:00+00,53.9878,-7.2937,0
3,Clare,118817,2020/03/08 00:00:00+00,52.8917,-8.9889,4
4,Cork,542868,2020/03/08 00:00:00+00,51.9517,-8.6372,4
5,Donegal,159192,2020/03/08 00:00:00+00,54.8989,-7.96,0
6,Dublin,1347359,2020/03/08 00:00:00+00,53.3605,-6.292,3
7,Galway,258058,2020/03/08 00:00:00+00,53.3705,-8.7362,3
8,Kerry,147707,2020/03/08 00:00:00+00,52.1689,-9.565,0
9,Kildare,222504,2020/03/08 00:00:00+00,53.238,-6.7837,0
10,Kilkenny,99232,2020/03/08 00:00:00+00,52.5816,-7.2175,0
11,Laois,84697,2020/03/08 00:00:00+00,52.9952,-7.3423,0
12,Leitrim,32044,2020/03/08 00:00:00+00,54.1261,-7.9939,0
13,Limerick,194899,2020/03/08 00:00:00+00,52.5255,-8.7412,0
14,Longford,40873,2020/03/08 00:00:00+00,53.7325,-7.6952,0
15,Louth,128884,2020/03/08 00:00:00+00,53.9161,-6.487,1
16,Mayo,130507,2020/03/08 00:00:00+00,53.9191,-9.2537,0
17,Meath,195044,2020/03/08 00:00:00+00,53.6851,-6.715,0
18,Monaghan,61386,2020/03/08 00:00:00+00,54.1857,-6.9452,0
19,Offaly,77961,2020/03/08 00:00:00+00,53.2632,-7.6607,0
20,Roscommon,64544,2020/03/08 00:00:00+00,53.8008,-8.2735,0
21,Sligo,65535,2020/03/08 00:00:00+00,54.1581,-8.5345,0
22,Tipperary,159553,2020/03/08 00:00:00+00,52.6407,-7.9206,0
23,Waterford,116176,2020/03/08 00:00:00+00,52.2035,-7.4935,0
24,Westmeath,88770,2020/03/08 00:00:00+00,53.5524,-7.4219,0
25,Wexford,149722,2020/03/08 00:00:00+00,52.5164,-6.5037,0
26,Wicklow,142425,2020/03/08 00:00:00+00,53.0205,-6.3442,3
1,Carlow,56932,2020/03/09 00:00:00+00,52.7168,-6.8367,0
2,Cavan,76176,2020/03/09 00:00:00+00,53.9878,-7.2937,0
3,Clare,118817,2020/03/09 00:00:00+00,52.8917,-8.9889,4
4,Cork,542868,2020/03/09 00:00:00+00,51.9517,-8.6372,5
5,Donegal,159192,2020/03/09 00:00:00+00,54.8989,-7.96,0
6,Dublin,1347359,2020/03/09 00:00:00+00,53.3605,-6.292,4
7,Galway,258058,2020/03/09 00:00:00+00,53.3705,-8.7362,5
8,Kerry,147707,2020/03/09 00:00:00+00,52.1689,-9.565,1
9,Kildare,222504,2020/03/09 00:00:00+00,53.238,-6.7837,0
10,Kilkenny,99232,2020/03/09 00:00:00+00,52.5816,-7.2175,0
11,Laois,84697,2020/03/09 00:00:00+00,52.9952,-7.3423,0
12,Leitrim,32044,2020/03/09 00:00:00+00,54.1261,-7.9939,0
13,Limerick,194899,2020/03/09 00:00:00+00,52.5255,-8.7412,0
14,Longford,40873,2020/03/09 00:00:00+00,53.7325,-7.6952,0
15,Louth,128884,2020/03/09 00:00:00+00,53.9161,-6.487,1
16,Mayo,130507,2020/03/09 00:00:00+00,53.9191,-9.2537,0
17,Meath,195044,2020/03/09 00:00:00+00,53.6851,-6.715,0
18,Monaghan,61386,2020/03/09 00:00:00+00,54.1857,-6.9452,0
19,Offaly,77961,2020/03/09 00:00:00+00,53.2632,-7.6607,0
20,Roscommon,64544,2020/03/09 00:00:00+00,53.8008,-8.2735,0
21,Sligo,65535,2020/03/09 00:00:00+00,54.1581,-8.5345,0
22,Tipperary,159553,2020/03/09 00:00:00+00,52.6407,-7.9206,2
23,Waterford,116176,2020/03/09 00:00:00+00,52.2035,-7.4935,0
24,Westmeath,88770,2020/03/09 00:00:00+00,53.5524,-7.4219,0
25,Wexford,149722,2020/03/09 00:00:00+00,52.5164,-6.5037,0
26,Wicklow,142425,2020/03/09 00:00:00+00,53.0205,-6.3442,3
1,Carlow,56932,2020/03/10 00:00:00+00,52.7168,-6.8367,0
2,Cavan,76176,2020/03/10 00:00:00+00,53.9878,-7.2937,0
3,Clare,118817,2020/03/10 00:00:00+00,52.8917,-8.9889,4
4,Cork,542868,2020/03/10 00:00:00+00,51.9517,-8.6372,11
5,Donegal,159192,2020/03/10 00:00:00+00,54.8989,-7.96,0
6,Dublin,1347359,2020/03/10 00:00:00+00,53.3605,-6.292,6
7,Galway,258058,2020/03/10 00:00:00+00,53.3705,-8.7362,6
8,Kerry,147707,2020/03/10 00:00:00+00,52.1689,-9.565,1
9,Kildare,222504,2020/03/10 00:00:00+00,53.238,-6.7837,1
10,Kilkenny,99232,2020/03/10 00:00:00+00,52.5816,-7.2175,0
11,Laois,84697,2020/03/10 00:00:00+00,52.9952,-7.3423,0
12,Leitrim,32044,2020/03/10 00:00:00+00,54.1261,-7.9939,0
13,Limerick,194899,2020/03/10 00:00:00+00,52.5255,-8.7412,0
14,Longford,40873,2020/03/10 00:00:00+00,53.7325,-7.6952,0
15,Louth,128884,2020/03/10 00:00:00+00,53.9161,-6.487,1
16,Mayo,130507,2020/03/10 00:00:00+00,53.9191,-9.2537,0
17,Meath,195044,2020/03/10 00:00:00+00,53.6851,-6.715,2
18,Monaghan,61386,2020/03/10 00:00:00+00,54.1857,-6.9452,0
19,Offaly,77961,2020/03/10 00:00:00+00,53.2632,-7.6607,0
20,Roscommon,64544,2020/03/10 00:00:00+00,53.8008,-8.2735,0
21,Sligo,65535,2020/03/10 00:00:00+00,54.1581,-8.5345,0
22,Tipperary,159553,2020/03/10 00:00:00+00,52.6407,-7.9206,2
23,Waterford,116176,2020/03/10 00:00:00+00,52.2035,-7.4935,0
24,Westmeath,88770,2020/03/10 00:00:00+00,53.5524,-7.4219,0
25,Wexford,149722,2020/03/10 00:00:00+00,52.5164,-6.5037,0
26,Wicklow,142425,2020/03/10 00:00:00+00,53.0205,-6.3442,3
1,Carlow,56932,2020/03/11 00:00:00+00,52.7168,-6.8367,0
2,Cavan,76176,2020/03/11 00:00:00+00,53.9878,-7.2937,0
3,Clare,118817,2020/03/11 00:00:00+00,52.8917,-8.9889,4
4,Cork,542868,2020/03/11 00:00:00+00,51.9517,-8.6372,16
5,Donegal,159192,2020/03/11 00:00:00+00,54.8989,-7.96,0
6,Dublin,1347359,2020/03/11 00:00:00+00,53.3605,-6.292,10
7,Galway,258058,2020/03/11 00:00:00+00,53.3705,-8.7362,6
8,Kerry,147707,2020/03/11 00:00:00+00,52.1689,-9.565,2
9,Kildare,222504,2020/03/11 00:00:00+00,53.238,-6.7837,1
10,Kilkenny,99232,2020/03/11 00:00:00+00,52.5816,-7.2175,0
11,Laois,84697,2020/03/11 00:00:00+00,52.9952,-7.3423,0
12,Leitrim,32044,2020/03/11 00:00:00+00,54.1261,-7.9939,0
13,Limerick,194899,2020/03/11 00:00:00+00,52.5255,-8.7412,0
14,Longford,40873,2020/03/11 00:00:00+00,53.7325,-7.6952,0
15,Louth,128884,2020/03/11 00:00:00+00,53.9161,-6.487,2
16,Mayo,130507,2020/03/11 00:00:00+00,53.9191,-9.2537,0
17,Meath,195044,2020/03/11 00:00:00+00,53.6851,-6.715,2
18,Monaghan,61386,2020/03/11 00:00:00+00,54.1857,-6.9452,0
19,Offaly,77961,2020/03/11 00:00:00+00,53.2632,-7.6607,0
20,Roscommon,64544,2020/03/11 00:00:00+00,53.8008,-8.2735,0
21,Sligo,65535,2020/03/11 00:00:00+00,54.1581,-8.5345,0
22,Tipperary,159553,2020/03/11 00:00:00+00,52.6407,-7.9206,2
23,Waterford,116176,2020/03/11 00:00:00+00,52.2035,-7.4935,1
24,Westmeath,88770,2020/03/11 00:00:00+00,53.5524,-7.4219,0
25,Wexford,149722,2020/03/11 00:00:00+00,52.5164,-6.5037,0
26,Wicklow,142425,2020/03/11 00:00:00+00,53.0205,-6.3442,3
1,Carlow,56932,2020/03/12 00:00:00+00,52.7168,-6.8367,1
2,Cavan,76176,2020/03/12 00:00:00+00,53.9878,-7.2937,0
3,Clare,118817,2020/03/12 00:00:00+00,52.8917,-8.9889,5
4,Cork,542868,2020/03/12 00:00:00+00,51.9517,-8.6372,18
5,Donegal,159192,2020/03/12 00:00:00+00,54.8989,-7.96,0
6,Dublin,1347359,2020/03/12 00:00:00+00,53.3605,-6.292,31
7,Galway,258058,2020/03/12 00:00:00+00,53.3705,-8.7362,6
8,Kerry,147707,2020/03/12 00:00:00+00,52.1689,-9.565,3
9,Kildare,222504,2020/03/12 00:00:00+00,53.238,-6.7837,1
10,Kilkenny,99232,2020/03/12 00:00:00+00,52.5816,-7.2175,0
11,Laois,84697,2020/03/12 00:00:00+00,52.9952,-7.3423,0
12,Leitrim,32044,2020/03/12 00:00:00+00,54.1261,-7.9939,0
13,Limerick,194899,2020/03/12 00:00:00+00,52.5255,-8.7412,1
14,Longford,40873,2020/03/12 00:00:00+00,53.7325,-7.6952,1
15,Louth,128884,2020/03/12 00:00:00+00,53.9161,-6.487,2
16,Mayo,130507,2020/03/12 00:00:00+00,53.9191,-9.2537,0
17,Meath,195044,2020/03/12 00:00:00+00,53.6851,-6.715,2
18,Monaghan,61386,2020/03/12 00:00:00+00,54.1857,-6.9452,0
19,Offaly,77961,2020/03/12 00:00:00+00,53.2632,-7.6607,0
20,Roscommon,64544,2020/03/12 00:00:00+00,53.8008,-8.2735,0
21,Sligo,65535,2020/03/12 00:00:00+00,54.1581,-8.5345,0
22,Tipperary,159553,2020/03/12 00:00:00+00,52.6407,-7.9206,2
23,Waterford,116176,2020/03/12 00:00:00+00,52.2035,-7.4935,1
24,Westmeath,88770,2020/03/12 00:00:00+00,53.5524,-7.4219,0
25,Wexford,149722,2020/03/12 00:00:00+00,52.5164,-6.5037,0
26,Wicklow,142425,2020/03/12 00:00:00+00,53.0205,-6.3442,4
1,Carlow,56932,2020/03/13 00:00:00+00,52.7168,-6.8367,2
2,Cavan,76176,2020/03/13 00:00:00+00,53.9878,-7.2937,0
3,Clare,118817,2020/03/13 00:00:00+00,52.8917,-8.9889,5
4,Cork,542868,2020/03/13 00:00:00+00,51.9517,-8.6372,25
5,Donegal,159192,2020/03/13 00:00:00+00,54.8989,-7.96,1
6,Dublin,1347359,2020/03/13 00:00:00+00,53.3605,-6.292,39
7,Galway,258058,2020/03/13 00:00:00+00,53.3705,-8.7362,8
8,Kerry,147707,2020/03/13 00:00:00+00,52.1689,-9.565,3
9,Kildare,222504,2020/03/13 00:00:00+00,53.238,-6.7837,3
10,Kilkenny,99232,2020/03/13 00:00:00+00,52.5816,-7.2175,0
11,Laois,84697,2020/03/13 00:00:00+00,52.9952,-7.3423,0
12,Leitrim,32044,2020/03/13 00:00:00+00,54.1261,-7.9939,0
13,Limerick,194899,2020/03/13 00:00:00+00,52.5255,-8.7412,5
14,Longford,40873,2020/03/13 00:00:00+00,53.7325,-7.6952,1
15,Louth,128884,2020/03/13 00:00:00+00,53.9161,-6.487,2
16,Mayo,130507,2020/03/13 00:00:00+00,53.9191,-9.2537,0
17,Meath,195044,2020/03/13 00:00:00+00,53.6851,-6.715,3
18,Monaghan,61386,2020/03/13 00:00:00+00,54.1857,-6.9452,0
19,Offaly,77961,2020/03/13 00:00:00+00,53.2632,-7.6607,0
20,Roscommon,64544,2020/03/13 00:00:00+00,53.8008,-8.2735,0
21,Sligo,65535,2020/03/13 00:00:00+00,54.1581,-8.5345,0
22,Tipperary,159553,2020/03/13 00:00:00+00,52.6407,-7.9206,2
23,Waterford,116176,2020/03/13 00:00:00+00,52.2035,-7.4935,3
24,Westmeath,88770,2020/03/13 00:00:00+00,53.5524,-7.4219,2
25,Wexford,149722,2020/03/13 00:00:00+00,52.5164,-6.5037,0
26,Wicklow,142425,2020/03/13 00:00:00+00,53.0205,-6.3442,6
1,Carlow,56932,2020/03/14 00:00:00+00,52.7168,-6.8367,2
2,Cavan,76176,2020/03/14 00:00:00+00,53.9878,-7.2937,0
3,Clare,118817,2020/03/14 00:00:00+00,52.8917,-8.9889,5
